Run,Step,borrowed_books,continued_login_confirmation,student_login_status,borrowable_books,starting,guest_user_login_status
1,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
1,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
1,3,{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
1,4,{},"{mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
1,5,{},{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
1,6,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
1,7,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
2,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
2,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
2,3,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
2,4,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
2,5,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
2,6,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, false)}",{}
2,7,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
3,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
3,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
